file_path,emotion,actor
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-07-01-01-01-02.wav,7,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-07-01-01-02-02.wav,7,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-07-01-02-01-02.wav,7,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-07-01-02-02-02.wav,7,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-07-02-01-01-02.wav,7,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-07-02-01-02-02.wav,7,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-07-02-02-01-02.wav,7,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-07-02-02-02-02.wav,7,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-08-01-01-01-02.wav,8,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-08-01-01-02-02.wav,8,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-08-01-02-01-02.wav,8,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-08-01-02-02-02.wav,8,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-08-02-01-01-02.wav,8,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-08-02-01-02-02.wav,8,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-08-02-02-01-02.wav,8,2
audio/datasets/audio_speech_actors_01-24\Actor_02\03-01-08-02-02-02-02.wav,8,2
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-01-01-01-01-03.wav,1,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-01-01-01-02-03.wav,1,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-01-01-02-01-03.wav,1,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-01-01-02-02-03.wav,1,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-02-01-01-01-03.wav,2,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-02-01-01-02-03.wav,2,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-02-01-02-01-03.wav,2,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-02-01-02-02-03.wav,2,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-02-02-01-01-03.wav,2,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-02-02-01-02-03.wav,2,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-02-02-02-01-03.wav,2,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-02-02-02-02-03.wav,2,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-03-01-01-01-03.wav,3,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-03-01-01-02-03.wav,3,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-03-01-02-01-03.wav,3,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-03-01-02-02-03.wav,3,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-03-02-01-01-03.wav,3,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-03-02-01-02-03.wav,3,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-03-02-02-01-03.wav,3,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-03-02-02-02-03.wav,3,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-04-01-01-01-03.wav,4,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-04-01-01-02-03.wav,4,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-04-01-02-01-03.wav,4,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-04-01-02-02-03.wav,4,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-04-02-01-01-03.wav,4,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-04-02-01-02-03.wav,4,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-04-02-02-01-03.wav,4,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-04-02-02-02-03.wav,4,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-05-01-01-01-03.wav,5,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-05-01-01-02-03.wav,5,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-05-01-02-01-03.wav,5,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-05-01-02-02-03.wav,5,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-05-02-01-01-03.wav,5,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-05-02-01-02-03.wav,5,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-05-02-02-01-03.wav,5,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-05-02-02-02-03.wav,5,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-06-01-01-01-03.wav,6,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-06-01-01-02-03.wav,6,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-06-01-02-01-03.wav,6,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-06-01-02-02-03.wav,6,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-06-02-01-01-03.wav,6,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-06-02-01-02-03.wav,6,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-06-02-02-01-03.wav,6,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-06-02-02-02-03.wav,6,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-07-01-01-01-03.wav,7,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-07-01-01-02-03.wav,7,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-07-01-02-01-03.wav,7,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-07-01-02-02-03.wav,7,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-07-02-01-01-03.wav,7,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-07-02-01-02-03.wav,7,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-07-02-02-01-03.wav,7,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-07-02-02-02-03.wav,7,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-08-01-01-01-03.wav,8,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-08-01-01-02-03.wav,8,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-08-01-02-01-03.wav,8,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-08-01-02-02-03.wav,8,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-08-02-01-01-03.wav,8,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-08-02-01-02-03.wav,8,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-08-02-02-01-03.wav,8,3
audio/datasets/audio_speech_actors_01-24\Actor_03\03-01-08-02-02-02-03.wav,8,3
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-01-01-01-01-04.wav,1,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-01-01-01-02-04.wav,1,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-01-01-02-01-04.wav,1,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-01-01-02-02-04.wav,1,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-02-01-01-01-04.wav,2,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-02-01-01-02-04.wav,2,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-02-01-02-01-04.wav,2,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-02-01-02-02-04.wav,2,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-02-02-01-01-04.wav,2,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-02-02-01-02-04.wav,2,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-02-02-02-01-04.wav,2,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-02-02-02-02-04.wav,2,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-03-01-01-01-04.wav,3,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-03-01-01-02-04.wav,3,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-03-01-02-01-04.wav,3,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-03-01-02-02-04.wav,3,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-03-02-01-01-04.wav,3,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-03-02-01-02-04.wav,3,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-03-02-02-01-04.wav,3,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-03-02-02-02-04.wav,3,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-04-01-01-01-04.wav,4,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-04-01-01-02-04.wav,4,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-04-01-02-01-04.wav,4,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-04-01-02-02-04.wav,4,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-04-02-01-01-04.wav,4,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-04-02-01-02-04.wav,4,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-04-02-02-01-04.wav,4,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-04-02-02-02-04.wav,4,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-05-01-01-01-04.wav,5,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-05-01-01-02-04.wav,5,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-05-01-02-01-04.wav,5,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-05-01-02-02-04.wav,5,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-05-02-01-01-04.wav,5,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-05-02-01-02-04.wav,5,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-05-02-02-01-04.wav,5,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-05-02-02-02-04.wav,5,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-06-01-01-01-04.wav,6,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-06-01-01-02-04.wav,6,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-06-01-02-01-04.wav,6,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-06-01-02-02-04.wav,6,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-06-02-01-01-04.wav,6,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-06-02-01-02-04.wav,6,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-06-02-02-01-04.wav,6,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-06-02-02-02-04.wav,6,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-07-01-01-01-04.wav,7,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-07-01-01-02-04.wav,7,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-07-01-02-01-04.wav,7,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-07-01-02-02-04.wav,7,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-07-02-01-01-04.wav,7,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-07-02-01-02-04.wav,7,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-07-02-02-01-04.wav,7,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-07-02-02-02-04.wav,7,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-08-01-01-01-04.wav,8,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-08-01-01-02-04.wav,8,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-08-01-02-01-04.wav,8,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-08-01-02-02-04.wav,8,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-08-02-01-01-04.wav,8,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-08-02-01-02-04.wav,8,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-08-02-02-01-04.wav,8,4
audio/datasets/audio_speech_actors_01-24\Actor_04\03-01-08-02-02-02-04.wav,8,4
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-01-01-01-01-05.wav,1,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-01-01-01-02-05.wav,1,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-01-01-02-01-05.wav,1,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-01-01-02-02-05.wav,1,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-02-01-01-01-05.wav,2,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-02-01-01-02-05.wav,2,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-02-01-02-01-05.wav,2,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-02-01-02-02-05.wav,2,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-02-02-01-01-05.wav,2,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-02-02-01-02-05.wav,2,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-02-02-02-01-05.wav,2,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-02-02-02-02-05.wav,2,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-03-01-01-01-05.wav,3,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-03-01-01-02-05.wav,3,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-03-01-02-01-05.wav,3,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-03-01-02-02-05.wav,3,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-03-02-01-01-05.wav,3,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-03-02-01-02-05.wav,3,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-03-02-02-01-05.wav,3,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-03-02-02-02-05.wav,3,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-04-01-01-01-05.wav,4,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-04-01-01-02-05.wav,4,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-04-01-02-01-05.wav,4,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-04-01-02-02-05.wav,4,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-04-02-01-01-05.wav,4,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-04-02-01-02-05.wav,4,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-04-02-02-01-05.wav,4,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-04-02-02-02-05.wav,4,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-05-01-01-01-05.wav,5,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-05-01-01-02-05.wav,5,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-05-01-02-01-05.wav,5,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-05-01-02-02-05.wav,5,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-05-02-01-01-05.wav,5,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-05-02-01-02-05.wav,5,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-05-02-02-01-05.wav,5,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-05-02-02-02-05.wav,5,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-06-01-01-01-05.wav,6,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-06-01-01-02-05.wav,6,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-06-01-02-01-05.wav,6,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-06-01-02-02-05.wav,6,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-06-02-01-01-05.wav,6,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-06-02-01-02-05.wav,6,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-06-02-02-01-05.wav,6,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-06-02-02-02-05.wav,6,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-07-01-01-01-05.wav,7,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-07-01-01-02-05.wav,7,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-07-01-02-01-05.wav,7,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-07-01-02-02-05.wav,7,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-07-02-01-01-05.wav,7,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-07-02-01-02-05.wav,7,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-07-02-02-01-05.wav,7,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-07-02-02-02-05.wav,7,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-08-01-01-01-05.wav,8,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-08-01-01-02-05.wav,8,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-08-01-02-01-05.wav,8,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-08-01-02-02-05.wav,8,5
audio/datasets/audio_speech_actors_01-24\Actor_05\03-01-08-02-01-01-05.wav,8,5
